time /min,PdPy*2,L,Pd9L6,Py*
0,2.03,0.53,0.00,0.00
5,1.00,0.00,0.03,1.59
10,1.02,0.00,0.04,1.61
15,1.02,0.00,0.04,1.61
20,1.02,0.00,0.04,1.61
25,1.03,0.00,0.04,1.62
30,1.04,0.00,0.04,1.63
35,1.03,0.00,0.05,1.62
40,1.05,0.00,0.05,1.63
45,1.04,0.00,0.05,1.60
50,1.06,0.00,0.05,1.63
55,1.06,0.00,0.05,1.62
60,1.07,0.00,0.05,1.65
120,1.12,0.00,0.05,1.62
180,1.14,0.00,0.05,1.61
240,1.15,0.00,0.05,1.60
360,1.07,0.00,0.05,1.49
480,1.21,0.00,0.06,1.63
720,1.21,0.00,0.07,1.63
